Date,Average Wind Speed,Precipitation,Snowfall,Average Temperature
1/1/2012,,3.23,4.3,37.3
2/1/2012,6.7,1.37,0.2,40.9
3/1/2012,5.8,0.96,0,50.9
4/1/2012,5.6,3.56,0,54.8
5/1/2012,3.8,5.37,0,65.1
6/1/2012,4.5,2.98,0,71
7/1/2012,4,4.21,0,78.8
8/1/2012,3.4,2.92,0,76.7
9/1/2012,4,4.39,0,68.8
10/1/2012,4.9,2.93,0,58
11/1/2012,5.8,1.81,4.7,43.9
12/1/2012,6.5,4.8,0.4,41.5
1/1/2013,6.5,2.76,1.5,35.1
2/1/2013,7.2,4.25,12.2,33.9
3/1/2013,7.4,2.89,7.3,40.1
4/1/2013,6.3,1.31,0,53
5/1/2013,4.9,8,0,62.8
6/1/2013,4.5,10.11,0,72.7
7/1/2013,4.5,2.84,0,79.8
8/1/2013,3.8,2.85,0,74.6
9/1/2013,4,2.95,0,67.9
10/1/2013,5.1,0.36,0,60.2
11/1/2013,6.3,3.16,0,45.3
12/1/2013,5.8,4.85,8.6,38.6
1/1/2014,6.7,2.8,19.7,28.7
2/1/2014,6.3,5.48,29,31.7
3/1/2014,7.2,3.67,0.1,37.7
4/1/2014,6.3,7.85,0,52.3
5/1/2014,4.5,4.37,0,64
6/1/2014,4,4.26,0,72.4
7/1/2014,4.3,5.59,0,76.1
8/1/2014,3.8,2.25,0,74.5
9/1/2014,4.3,1.21,0,69.7
10/1/2014,5.1,5.78,0,59.6
11/1/2014,5.4,4.51,0.2,45.3
12/1/2014,6.7,6.04,1,40.5
1/1/2015,7.4,5.22,16.9,29.9
2/1/2015,7.2,2.04,13.6,24.1
3/1/2015,6,4.73,18.6,38.1
4/1/2015,6.5,2.08,0,54.3
5/1/2015,4.3,1.86,0,68.5
6/1/2015,4.7,4.79,0,71.2
7/1/2015,3.6,3.97,0,78.8
8/1/2015,3.8,2.35,0,79
9/1/2015,4.5,3.28,0,74.4
10/1/2015,5.1,3.91,0,58
11/1/2015,4.9,2.02,0,52.8
12/1/2015,5.1,4.72,0,50.8
1/1/2016,6.9,4.41,27.9,34.5
2/1/2016,7.4,4.41,4.1,37.8
3/1/2016,6.7,1.17,0.9,48.9
4/1/2016,6,1.62,0,53.3
5/1/2016,,3.76,0,62.8
6/1/2016,4.3,2.6,0,72.2
7/1/2016,4,7.02,0,78.7
8/1/2016,3.8,1.98,0,79.2
9/1/2016,4.9,2.8,0,71.8
10/1/2016,4.7,4.15,0,58.8
11/1/2016,5.1,5.41,0,49.8
12/1/2016,6,2.89,3.2,38.4
1/1/2017,6.7,4.83,7.9,38
2/1/2017,6.7,2.48,9.4,41.7
3/1/2017,7.4,5.25,9.7,39.2
